nodeId	time	failures	numContainers	concurrency	cache	newratio	appId	sigma	U	minit	mtask	mcache	mheap	perf	perfsigma	feature1	feature2	feature3	mshuffle
147	80	0	3	2	0.2	7	577	0	3.73E-01	1.33E+08	7.14E+07	0.8	1539309568	0.0125	0	3.73E-01	4.44E+00	0	0
148	20	0	3	2	0.4	1	578	0	5.29E-01	1.33E+08	7.14E+07	0.8	1539309568	0.05	0	5.29E-01	2.25E+00	0	0
149	19	0	3	2	0.4	3	579	0	5.54E-01	1.33E+08	7.14E+07	0.8	1539309568	0.05263157895	0	5.54E-01	2.23E+00	0	0
150	40	1	3	2	0.4	5	580	1.666666667	5.62E-01	1.33E+08	7.14E+07	0.8	1539309568	0.025	0.001	5.62E-01	2.22E+00	0	0
151	25	1	3	2	0.4	7	581	1.041666667	5.66E-01	1.33E+08	7.14E+07	0.8	1539309568	0.04	0.0016	5.66E-01	2.22E+00	0	0
152	19	0	3	2	0.6	1	582	0	4.82E-01	1.33E+08	7.14E+07	0.8	1539309568	0.05263157895	0	7.04E-01	1.80E+00	0	0
153	16	0	3	2	0.6	3	583	0	7.41E-01	1.33E+08	7.14E+07	0.8	1539309568	0.0625	0	7.41E-01	1.49E+00	0	0
154	20	1	3	2	0.6	5	584	0.8333333333	7.54E-01	1.33E+08	7.14E+07	0.8	1539309568	0.05	0.002	7.54E-01	1.48E+00	0	0
155	18	2	3	2	0.6	7	585	1.5	7.60E-01	1.33E+08	7.14E+07	0.8	1539309568	0.05555555556	0.004273504274	7.60E-01	1.48E+00	0	0
156	30	0	3	2	0.8	1	586	0	2.99E-01	1.33E+08	7.14E+07	0.8	1539309568	0.03333333333	0	8.79E-01	1.80E+00	0	0
157	14	1	3	2	0.8	3	587	0.5833333333	7.57E-01	1.33E+08	7.14E+07	0.8	1539309568	0.07142857143	0.002857142857	9.29E-01	1.19E+00	0	0
158	11	0	3	2	0.8	5	588	0	9.07E-01	1.33E+08	7.14E+07	0.8	1539309568	0.09090909091	0	9.46E-01	1.11E+00	0	0
159	8.7	1	3	2	0.8	7	589	0.3625	9.54E-01	1.33E+08	7.14E+07	0.8	1539309568	0.1149425287	0.004597701149	9.54E-01	1.11E+00	0	0
160	80	0	4	1	0.2	1	817	0	3.52E-01	1.33E+08	7.14E+07	0.8	1154482176	0.0125	0	3.52E-01	4.66E+00	0	0
161	24	1	4	1	0.2	3	818	0.75	3.64E-01	1.33E+08	7.14E+07	0.8	1154482176	0.04166666667	0.001262626263	3.64E-01	4.61E+00	0	0
162	26	0	4	1	0.2	5	819	0	3.68E-01	1.33E+08	7.14E+07	0.8	1154482176	0.03846153846	0	3.68E-01	4.60E+00	0	0
163	26	0	4	1	0.2	7	820	0	3.70E-01	1.33E+08	7.14E+07	0.8	1154482176	0.03846153846	0	3.70E-01	4.59E+00	0	0
164	25	0	4	1	0.4	1	821	0	5.27E-01	1.33E+08	7.14E+07	0.8	1154482176	0.04	0	5.27E-01	2.33E+00	0	0
165	15	0	4	1	0.4	3	822	0	5.52E-01	1.33E+08	7.14E+07	0.8	1154482176	0.06666666667	0	5.52E-01	2.31E+00	0	0
166	16	1	4	1	0.4	5	823	0.5	5.60E-01	1.33E+08	7.14E+07	0.8	1154482176	0.0625	0.001893939394	5.60E-01	2.30E+00	0	0
167	17	0	4	1	0.4	7	824	0	5.64E-01	1.33E+08	7.14E+07	0.8	1154482176	0.05882352941	0	5.64E-01	2.30E+00	0	0
168	19	0	4	1	0.6	1	825	0	4.22E-01	1.33E+08	7.14E+07	0.8	1154482176	0.05263157895	0	7.02E-01	1.86E+00	0	0
169	14	0	4	1	0.6	3	826	0	7.39E-01	1.33E+08	7.14E+07	0.8	1154482176	0.07142857143	0	7.39E-01	1.54E+00	0	0
170	15	0	4	1	0.6	5	827	0	7.52E-01	1.33E+08	7.14E+07	0.8	1154482176	0.06666666667	0	7.52E-01	1.53E+00	0	0
